"pk_evenement","nom_evenement","type","date","pays","pk_moyen_action","nom_moyen_action"
1,manifestation des ouvrier.ère.s de Lip,manifestation de rue,"1973-05-18",Suisse,1,banderole
1,manifestation des ouvrier.ère.s de Lip,manifestation de rue,"1973-05-18",Suisse,2,tracter
1,manifestation des ouvrier.ère.s de Lip,manifestation de rue,"1973-05-18",Suisse,3,port de l'habit de travail
2,meeting en solidarité aux travailleurs de Lip,meeting,"1973-05-25",Suisse,4,discours
2,meeting en solidarité aux travailleurs de Lip,meeting,"1973-05-25",Suisse,5,collage d'affiches
6,regroupement devant le siège d'Ebauches S.A,regroupement de rue,"1973-05-28",Suisse,4,discours
13,meeting en solidarité aux travailleurs de Lip,meeting,"1973-06-20",Suisse,4,discours
14,meeting en solidarité aux travailleurs de Lip,meeting,"1973-06-20",Suisse,4,discours
15,meeting en solidarité aux travailleurs de Lip,meeting,"1973-06-21",Suisse,4,discours
16,manifestation internationale,manifestation de rue,"1973-06-23",Suisse,1,banderole
16,manifestation internationale,manifestation de rue,"1973-06-23",Suisse,12,slogan
17,meeting en solidarité aux travailleurs de Lip,meeting,"1973-06-23",Suisse,4,discours
17,meeting en solidarité aux travailleurs de Lip,meeting,"1973-06-23",Suisse,1,banderole
18,assemblée d’information à l'intention des travailleurs chaux-de-fonniers,meeting,"1973-06-27",Suisse,4,discours
21,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-16",Suisse,13,production d'un comuniqué ou d'une résolution
22,manifestation en solidarité aux travailleurs de Lip,regroupement de rue /manifestation statique,"1973-08-17",Suisse,10,drapeau
22,manifestation en solidarité aux travailleurs de Lip,regroupement de rue /manifestation statique,"1973-08-17",Suisse,1,banderole
22,manifestation en solidarité aux travailleurs de Lip,regroupement de rue /manifestation statique,"1973-08-17",Suisse,12,slogan
22,manifestation en solidarité aux travailleurs de Lip,regroupement de rue /manifestation statique,"1973-08-17",Suisse,4,discours
24,manifestation en solidarité aux travailleurs de Lip,manifestation de rue,"1973-08-18",Suisse,10,drapeau
24,manifestation en solidarité aux travailleurs de Lip,manifestation de rue,"1973-08-18",Suisse,1,banderole
24,manifestation en solidarité aux travailleurs de Lip,manifestation de rue,"1973-08-18",Suisse,11,chant
24,manifestation en solidarité aux travailleurs de Lip,manifestation de rue,"1973-08-18",Suisse,4,discours
24,manifestation en solidarité aux travailleurs de Lip,manifestation de rue,"1973-08-18",Suisse,12,slogan
24,manifestation en solidarité aux travailleurs de Lip,manifestation de rue,"1973-08-18",Suisse,2,tracter
25,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-22",Suisse,1,banderole
25,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-22",Suisse,4,discours
25,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-22",Suisse,13,production d'un comuniqué ou d'une résolution
26,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-23",Suisse,11,chant
26,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-23",Suisse,1,banderole
27,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-24",Suisse,13,production d'un comuniqué ou d'une résolution
28,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-31",Suisse,5,collage d'affiches
28,meeting en solidarité aux travailleurs de Lip,meeting,"1973-08-31",Suisse,14,pétition
29,meeting en solidarité aux travailleurs de Lip,meeting,"1973-09-05",Suisse,13,production d'un comuniqué ou d'une résolution
29,meeting en solidarité aux travailleurs de Lip,meeting,"1973-09-05",Suisse,4,discours
32,film-meeting en solidarité aux travailleurs de Lip,film-meeting,"1973-10-19",Suisse,15,débat autour d'un film
33,film-meeting en solidarité aux travailleurs de Lip,film-meeting,"1973-10-25",Suisse,15,débat autour d'un film
