"pk_evenement","nom","date","nom","ville","pays","latitude","longitude"
1,manifestation des ouvrier.ère.s de Lip,"1973-05-18",Place du Port,Neuchâtel,Suisse,46.99188006348184,6.9343458441569386
2,meeting en solidarité aux travailleurs de Lip,"1973-05-25",Cercle des Travailleurs,Neuchâtel,Suisse,46.99320982097671,6.930432108830188
3,manifestation des ouvrier.ère.s de Lip,"1973-05-18",Morteau,Morteau,France,47.05768749590493,6.603599220502514
4,manifestation des ouvrier.ère.s de Lip,"1973-05-18",Villers-le-Lac,Villers-le-Lac,France,47.0592181584143,6.6687195240033414
5,regroupement devant le consulat suisse des ouvrier.ère.s de Lip,"1973-05-18",Consulat suisse,Besançon,France,47.235007202022054,6.038661626981228
6,regroupement devant le siège d'Ebauches S.A,"1973-05-28",Place de l'Hôtel communal,Neuchâtel,Suisse,46.991923467493116,6.931205948736114
7,première manifestation publique en solidarité aux ouvrier.ère.s de Lip,"1973-05-24",Place Saint-Pierre,Besançon,France,47.23796264126725,6.024281645694291
8,manifestation des ouvrier.ère.s de Lip,"1973-05-29",Porte d'Italie,Paris,France,48.81888822402997,2.359906776271288
9,début de l'occupation de l'usine,"1973-06-10",Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
10,regroupement devant l'usine Lip des ouvrier.ère.s de Lip,"1973-06-12",Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
11,meeting des responsables des ouvrier.ère.s de Lip,"1973-06-13",Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
12,manifestation « ville morte »,"1973-06-15",Besançon,Besançon,France,47.237481699807574,6.025134503065848
13,meeting en solidarité aux travailleurs de Lip,"1973-06-20",Maison du Peuple,Saint-Imier,Suisse,47.152135947796985,6.996678263848151
14,meeting en solidarité aux travailleurs de Lip,"1973-06-20",Café Saint-Gervais,Bienne/Biel,Suisse,47.1421580409844,7.2473929343895405
15,meeting en solidarité aux travailleurs de Lip,"1973-06-21",Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse,47.0993823351441,6.825140016714371
17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
18,assemblée d’information à l'intention des travailleurs chaux-de-fonniers,"1973-06-27",Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
19,intervention de la police et évacuation de l'usine,"1973-08-14",Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
20,manifestation en solidarité aux travailleurs de Lip,"1973-08-14",Usine Lip,Besançon,France,47.26649065218147,6.050844610052359
21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse,,
22,manifestation en solidarité aux travailleurs de Lip,"1973-08-17",Place de la Gare,La Chaux-de-Fonds,Suisse,47.0993823351441,6.825140016714371
23,meeting en solidarité aux travailleurs de Lip,"1973-08-17",Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse,47.13341613455254,7.242944479733647
25,meeting en solidarité aux travailleurs de Lip,"1973-08-22",Salle communale de Plainpalais,Genève,Suisse,46.194420660724404,6.143669295748282
26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse,"46.517263914958384,",6.627895088107318
27,meeting en solidarité aux travailleurs de Lip,"1973-08-24",Delémont,Delémont,Suisse,47.36721491201862,7.347455239325865
28,meeting en solidarité aux travailleurs de Lip,"1973-08-31",Volkshaus,Zürich,Suisse,47.37612984091458,8.527413949722506
29,meeting en solidarité aux travailleurs de Lip,"1973-09-05",Hôtel du Soleil,Delémont,Suisse,47.36721491201862,7.34745523932586
30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France,47.21588783150247,5.949602214449405
31,refus du plan Giraud par les travailleurs de Lip,"1973-10-12",Besançon,Besançon,France,47.237481699807574,6.025134503065848
32,film-meeting en solidarité aux travailleurs de Lip,"1973-10-19",Maison du Peuple,La Chaux-de-Fonds,Suisse,47.10023912061968,6.823338403696736
33,film-meeting en solidarité aux travailleurs de Lip,"1973-10-25",Buffet de la gare,Neuchâtel,Suisse,46.997008674157755,6.936019573012888
